iter	Passed	Remaining
1884	1493	91
1885	1493	90
1886	1494	89
1887	1495	88
1888	1496	87
1889	1497	87
1890	1497	86
1891	1498	85
1892	1499	84
1893	1500	83
1894	1501	83
1895	1502	82
1896	1503	81
1897	1503	80
1898	1504	80
1899	1505	79
1900	1505	78
1901	1506	77
1902	1507	76
1903	1508	76
1904	1508	75
1905	1509	74
1906	1510	73
1907	1511	72
1908	1511	72
1909	1512	71
1910	1513	70
1911	1514	69
1912	1514	68
1913	1515	68
1914	1516	67
1915	1517	66
1916	1517	65
1917	1518	64
1918	1519	64
1919	1520	63
1920	1520	62
1921	1521	61
1922	1522	60
1923	1523	60
1924	1524	59
1925	1525	58
1926	1525	57
1927	1526	57
1928	1527	56
1929	1528	55
1930	1529	54
1931	1529	53
